big,from_body,from_residual,from_profile,to_body,to_residual,to_profile
27,0,27,ObservedMinOne-candidate,11,16,ObservedMinTwo-candidate
27,18,9,ObservedMinTwo-candidate,19,8,ObservedMinOne-candidate
27,19,8,ObservedMinOne-candidate,25,2,ObservedMinTwo-candidate
27,25,2,ObservedMinTwo-candidate,26,1,ObservedMinOne-candidate
64,0,64,ObservedMinOne-candidate,10,54,ObservedMinTwo-candidate
64,36,28,ObservedMinTwo-candidate,37,27,ObservedMinOne-candidate
64,37,27,ObservedMinOne-candidate,48,16,ObservedMinTwo-candidate
64,55,9,ObservedMinTwo-candidate,56,8,ObservedMinOne-candidate
64,56,8,ObservedMinOne-candidate,62,2,ObservedMinTwo-candidate
64,62,2,ObservedMinTwo-candidate,63,1,ObservedMinOne-candidate
125,0,125,ObservedMinOne-candidate,34,91,ObservedMinTwo-candidate
125,60,65,ObservedMinTwo-candidate,61,64,ObservedMinOne-candidate
125,61,64,ObservedMinOne-candidate,71,54,ObservedMinTwo-candidate
125,97,28,ObservedMinTwo-candidate,98,27,ObservedMinOne-candidate
125,98,27,ObservedMinOne-candidate,109,16,ObservedMinTwo-candidate
125,116,9,ObservedMinTwo-candidate,117,8,ObservedMinOne-candidate
125,117,8,ObservedMinOne-candidate,123,2,ObservedMinTwo-candidate
125,123,2,ObservedMinTwo-candidate,124,1,ObservedMinOne-candidate
216,0,216,ObservedMinOne-candidate,27,189,ObservedMinTwo-candidate
216,90,126,ObservedMinTwo-candidate,91,125,ObservedMinOne-candidate
216,91,125,ObservedMinOne-candidate,125,91,ObservedMinTwo-candidate
216,151,65,ObservedMinTwo-candidate,152,64,ObservedMinOne-candidate
216,152,64,ObservedMinOne-candidate,162,54,ObservedMinTwo-candidate
216,188,28,ObservedMinTwo-candidate,189,27,ObservedMinOne-candidate
216,189,27,ObservedMinOne-candidate,200,16,ObservedMinTwo-candidate
216,207,9,ObservedMinTwo-candidate,208,8,ObservedMinOne-candidate
216,208,8,ObservedMinOne-candidate,214,2,ObservedMinTwo-candidate
216,214,2,ObservedMinTwo-candidate,215,1,ObservedMinOne-candidate
343,0,343,ObservedMinOne-candidate,2,341,ObservedMinTwo-candidate
343,126,217,ObservedMinTwo-candidate,127,216,ObservedMinOne-candidate
343,127,216,ObservedMinOne-candidate,154,189,ObservedMinTwo-candidate
343,217,126,ObservedMinTwo-candidate,218,125,ObservedMinOne-candidate
343,218,125,ObservedMinOne-candidate,252,91,ObservedMinTwo-candidate
343,278,65,ObservedMinTwo-candidate,279,64,ObservedMinOne-candidate
343,279,64,ObservedMinOne-candidate,289,54,ObservedMinTwo-candidate
343,315,28,ObservedMinTwo-candidate,316,27,ObservedMinOne-candidate
343,316,27,ObservedMinOne-candidate,327,16,ObservedMinTwo-candidate
343,334,9,ObservedMinTwo-candidate,335,8,ObservedMinOne-candidate
343,335,8,ObservedMinOne-candidate,341,2,ObservedMinTwo-candidate
343,341,2,ObservedMinTwo-candidate,342,1,ObservedMinOne-candidate
512,0,512,ObservedMinOne-candidate,44,468,ObservedMinTwo-candidate
512,168,344,ObservedMinTwo-candidate,169,343,ObservedMinOne-candidate
512,169,343,ObservedMinOne-candidate,171,341,ObservedMinTwo-candidate
512,295,217,ObservedMinTwo-candidate,296,216,ObservedMinOne-candidate
512,296,216,ObservedMinOne-candidate,323,189,ObservedMinTwo-candidate
512,386,126,ObservedMinTwo-candidate,387,125,ObservedMinOne-candidate
512,387,125,ObservedMinOne-candidate,421,91,ObservedMinTwo-candidate
512,447,65,ObservedMinTwo-candidate,448,64,ObservedMinOne-candidate
512,448,64,ObservedMinOne-candidate,458,54,ObservedMinTwo-candidate
512,484,28,ObservedMinTwo-candidate,485,27,ObservedMinOne-candidate
512,485,27,ObservedMinOne-candidate,496,16,ObservedMinTwo-candidate
512,503,9,ObservedMinTwo-candidate,504,8,ObservedMinOne-candidate
512,504,8,ObservedMinOne-candidate,510,2,ObservedMinTwo-candidate
512,510,2,ObservedMinTwo-candidate,511,1,ObservedMinOne-candidate
729,0,729,ObservedMinOne-candidate,1,728,ObservedMinTwo-candidate
729,216,513,ObservedMinTwo-candidate,217,512,ObservedMinOne-candidate
729,217,512,ObservedMinOne-candidate,261,468,ObservedMinTwo-candidate
729,385,344,ObservedMinTwo-candidate,386,343,ObservedMinOne-candidate
729,386,343,ObservedMinOne-candidate,388,341,ObservedMinTwo-candidate
729,512,217,ObservedMinTwo-candidate,513,216,ObservedMinOne-candidate
729,513,216,ObservedMinOne-candidate,540,189,ObservedMinTwo-candidate
729,603,126,ObservedMinTwo-candidate,604,125,ObservedMinOne-candidate
729,604,125,ObservedMinOne-candidate,638,91,ObservedMinTwo-candidate
729,664,65,ObservedMinTwo-candidate,665,64,ObservedMinOne-candidate
729,665,64,ObservedMinOne-candidate,675,54,ObservedMinTwo-candidate
729,701,28,ObservedMinTwo-candidate,702,27,ObservedMinOne-candidate
729,702,27,ObservedMinOne-candidate,713,16,ObservedMinTwo-candidate
729,720,9,ObservedMinTwo-candidate,721,8,ObservedMinOne-candidate
729,721,8,ObservedMinOne-candidate,727,2,ObservedMinTwo-candidate
729,727,2,ObservedMinTwo-candidate,728,1,ObservedMinOne-candidate
